Remote_Ratio,Tigon-no-logging,Tigon-1ms,Tigon-10ms,Tigon-20ms,Tigon-30ms,Tigon-40ms,Tigon-50ms
0,513431.0,419998.0,451147.0,462297.0,462926.0,465869.0,466903.0
10,365041.0,306212.0,325889.0,332531.0,334462.0,337506.0,339273.0
20,348392.0,294471.0,314254.0,319963.0,323595.0,325492.0,326824.0
30,337946.0,285123.0,304195.0,311337.0,313648.0,315098.0,316500.0
40,328508.0,276306.0,295830.0,301824.0,303991.0,305374.0,307292.0
50,319891.0,268459.0,287640.0,293612.0,296033.0,297016.0,298994.0
60,310006.0,262555.0,280237.0,285840.0,286856.0,290008.0,291438.0
70,303654.0,257038.0,273363.0,279937.0,281231.0,283505.0,284259.0
80,296185.0,252021.0,268105.0,273601.0,276293.0,277887.0,278200.0
90,290731.0,245615.0,262566.0,268592.0,270544.0,271839.0,271952.0
100,284709.0,241501.0,258370.0,263803.0,265890.0,267139.0,266663.0
