Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,483373.0,482135.0,327448.0,333550.0,327566.0,333325.0
10,346295.0,339808.0,216766.0,216341.0,185389.0,187019.0
20,281896.0,275398.0,170246.0,169427.0,129756.0,129214.0
30,240337.0,233590.0,143775.0,143045.0,103462.0,99061.4
40,210016.0,204515.0,121819.0,122038.0,82759.9,82201.8
50,187664.0,182519.0,109051.0,107352.0,72171.8,67763.4
60,170632.0,164369.0,96669.6,95818.4,61105.2,58042.2
70,156142.0,149855.0,87259.4,86113.2,55030.4,53032.2
80,143766.0,138298.0,80105.4,78467.6,50114.9,47014.5
90,132878.0,128293.0,73565.4,73156.6,44115.5,41824.1
100,124323.0,119421.0,68196.9,66845.1,39587.4,39150.3
