Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1822290.0,1742890.0,1197270.0,1156450.0,1200460.0,1171110.0
10,1072450.0,1078650.0,608646.0,658284.0,423038.0,489615.0
20,788497.0,815882.0,412287.0,477764.0,261917.0,305042.0
30,623216.0,655653.0,318108.0,381330.0,185103.0,223094.0
40,512826.0,543367.0,262183.0,314434.0,143692.0,173146.0
50,436611.0,467138.0,219773.0,267766.0,118391.0,139052.0
60,381371.0,412461.0,187997.0,229668.0,100590.0,120379.0
70,338188.0,369903.0,169974.0,200890.0,91487.8,105310.0
80,305356.0,329787.0,150261.0,183634.0,74749.4,92934.7
90,277656.0,303280.0,135125.0,165624.0,70319.2,82408.1
100,252974.0,278142.0,122440.0,151576.0,63549.1,72589.8
