Remote_Ratio,Tigon-200MB,Tigon-150MB,Tigon-100MB,Tigon-50MB,Tigon-10MB
0,1642140.0,1651680.0,1644630.0,1638140.0,1643050.0
10,1028770.0,992972.0,990145.0,862069.0,810702.0
20,938509.0,910840.0,911302.0,684021.0,561054.0
30,870995.0,849594.0,846168.0,564490.0,432726.0
40,820747.0,794293.0,794723.0,474543.0,351526.0
50,773924.0,748635.0,752871.0,416261.0,292174.0
60,732132.0,709023.0,712456.0,365621.0,253344.0
70,697633.0,676201.0,676928.0,329982.0,221567.0
80,670103.0,645454.0,647571.0,300916.0,198594.0
90,643583.0,619900.0,617296.0,278477.0,178557.0
100,616800.0,594531.0,591774.0,255245.0,162451.0
