Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
NoMoveOut-OnDemand-0-WriteThrough,659126,21227776,108789760,16777664,41054,985296,0.00351996,100%,0%,0,0,13598720,0,3397534,23899370,44585546,3397534,92.9193%
NoMoveOut-OnDemand-0-NoOP,770742,21227776,108789760,16777664,41203,988872,0.00321085,100%,0%,0,0,13598720,0,0,0,0,0,-nan%
NoMoveOut-OnDemand-0-NonTemporal,533796,21227776,108789760,16777664,41143,987432,0.00331744,100%,0.000214362%,0,0,13598720,0,38371626,19115230,0,0,-nan%
Eagerly-OnDemand-80K-WriteThrough,550134,21227776,24070,16777664,978514,23484336,0.00438278,0.0420649%,99.3185%,961084,961084,325088590,325087760,2947402,990950,1008762,2947402,25.4985%
Eagerly-OnDemand-80K-NoOP,568144,21227776,53120,16777664,1015341,24368184,0.00428182,0.0421347%,99.3049%,992482,992482,335747118,335737988,0,0,0,0,-nan%
Eagerly-OnDemand-80K-NonTemporal,553704,21227776,44820,16777664,985021,23640504,0.0042917,0.0424614%,99.3476%,970349,970349,327043406,327037596,3970875,994285,0,0,-nan%
Eagerly-OnDemand-800K-WriteThrough,380406,21227776,431268,16777664,696974,16727376,0.0143684,0.393929%,97.9434%,664974,664695,231626772,231542278,2097392,757285,833666,2097392,28.4425%
Eagerly-OnDemand-800K-NoOP,390557,21227776,514600,16777664,715837,17180088,0.0144945,0.39496%,98.121%,682243,682111,237805458,237707352,0,0,0,0,-nan%
Eagerly-OnDemand-800K-NonTemporal,382645,21227744,303946,16777664,700492,16811808,0.0148182,0.396045%,98.0487%,665388,665768,232159300,232147680,2947653,763413,0,0,-nan%
Eagerly-OnDemand-8MB-WriteThrough,319294,21227776,3112666,16777664,561540,13476960,0.0324044,3.68205%,93.4762%,536145,535578,187311578,186806606,1745353,1032485,1496119,1745353,46.1555%
Eagerly-OnDemand-8MB-NoOP,326372,21227776,3967732,16777664,585524,14052576,0.0279499,3.7226%,93.0252%,551947,553661,194448748,193819276,0,0,0,0,-nan%
Eagerly-OnDemand-8MB-NonTemporal,312769,21227776,3510070,16777664,558813,13411512,0.0278781,3.76276%,92.867%,526463,523575,186476598,185816748,3230798,1024094,0,0,-nan%
Eagerly-OnDemand-80MB-WriteThrough,451466,21227776,76014886,16777664,450943,10822632,0.0116492,45.0195%,53.2745%,431694,421406,149490304,139912934,2386838,8149547,14971707,2386838,86.2498%
Eagerly-OnDemand-80MB-NoOP,478435,21227776,65697488,16777664,475821,11419704,0.0106744,43.4856%,55.7481%,470983,444757,158140730,149901486,0,0,0,0,-nan%
Eagerly-OnDemand-80MB-NonTemporal,422757,21227776,70845646,16777664,416696,10000704,0.0087234,43.9797%,55.2764%,413777,394265,138659468,129924880,15992329,7506498,0,0,-nan%
Eagerly-OnDemand-800MB-WriteThrough,656800,21227776,108789760,16777664,40743,977832,0.00340049,100%,0%,0,0,13598720,0,3370580,23659588,44136043,3370580,92.905%
Eagerly-OnDemand-800MB-NoOP,769986,21227776,108789760,16777664,40679,976296,0.00324506,100%,0%,0,0,13598720,0,0,0,0,0,-nan%
Eagerly-OnDemand-800MB-NonTemporal,527755,21227776,108789760,16777664,40882,981168,0.00329034,99.9999%,0%,1,0,13598720,0,38002122,18933202,0,0,-nan%
Eagerly-Reactive-1-WriteThrough,588979,21227776,1660,16777664,1047128,25131072,0.00400392,0.00559739%,99.7454%,1036975,1036989,348295722,348295722,3124368,1038391,1060988,3124368,25.35%
Eagerly-Reactive-1-NoOP,607335,21227776,3320,16777664,1083899,26013576,0.00386742,0.00563134%,99.7643%,1065016,1065016,358515346,358515346,0,0,0,0,-nan%
Eagerly-Reactive-1-NonTemporal,590494,21227776,7470,16777664,1052261,25254264,0.00402862,0.0052636%,99.7545%,1041458,1041458,349600648,349595668,4209161,1044994,0,0,-nan%
OnDemandFIFO-OnDemand-80K-WriteThrough,553339,21227776,79680,16777664,982704,23584896,0.00414426,0.0727768%,99.3456%,967625,967625,326918906,326908946,2956523,999591,1025753,2956523,25.758%
OnDemandFIFO-OnDemand-80K-NoOP,569554,21227776,79680,16777664,1013560,24325440,0.00398872,0.0735215%,99.3655%,995292,995292,336475360,336465400,0,0,0,0,-nan%
