killing previous experiments...
initializing cxl memory...
I0909 19:25:40.507870 35294 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0909 19:25:40.507913 35294 Database.h:166] creating hash tables for database...
I0909 19:25:40.512441 35294 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0909 19:25:40.512603 35294 Database.h:146] district initialization finished in 0 milliseconds.
I0909 19:25:40.643704 35294 Database.h:146] customer initialization finished in 131 milliseconds.
I0909 19:25:40.661245 35294 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0909 19:25:40.729633 35294 Database.h:146] item initialization finished in 68 milliseconds.
I0909 19:25:41.012281 35294 Database.h:146] stock initialization finished in 282 milliseconds.
I0909 19:25:41.059729 35294 CXLMemory.h:25] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0909 19:25:41.059746 35294 Coordinator.h:42] Coordinator initializes 2 workers.
I0909 19:25:41.060896 35294 SundialPashaHelper.h:414] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0909 19:25:41.134187 35294 Coordinator.h:330] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 8183 Bytes)
I0909 19:25:41.134474 35308 Coordinator.h:366] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0909 19:25:41.134493 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.134505 35294 Coordinator.h:421] Coordinator 0 connected to 1
I0909 19:25:41.134927 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.134943 35294 Coordinator.h:421] Coordinator 0 connected to 2
I0909 19:25:41.135054 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.135058 35294 Coordinator.h:421] Coordinator 0 connected to 3
I0909 19:25:41.135130 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.135134 35294 Coordinator.h:421] Coordinator 0 connected to 4
I0909 19:25:41.135195 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.135198 35294 Coordinator.h:421] Coordinator 0 connected to 5
I0909 19:25:41.135268 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.135272 35294 Coordinator.h:421] Coordinator 0 connected to 6
I0909 19:25:41.135334 35294 Socket.h:69] Disabling nagle
I0909 19:25:41.135344 35294 Coordinator.h:421] Coordinator 0 connected to 7
I0909 19:25:46.134696 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134707 35308 Coordinator.h:381] Listener accepted connection from coordinator 3
I0909 19:25:46.134719 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134721 35308 Coordinator.h:381] Listener accepted connection from coordinator 5
I0909 19:25:46.134729 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134732 35308 Coordinator.h:381] Listener accepted connection from coordinator 4
I0909 19:25:46.134737 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134739 35308 Coordinator.h:381] Listener accepted connection from coordinator 2
I0909 19:25:46.134758 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134761 35308 Coordinator.h:381] Listener accepted connection from coordinator 7
I0909 19:25:46.134925 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134928 35308 Coordinator.h:381] Listener accepted connection from coordinator 1
I0909 19:25:46.134971 35308 Socket.h:69] Disabling nagle
I0909 19:25:46.134974 35308 Coordinator.h:381] Listener accepted connection from coordinator 6
I0909 19:25:46.134976 35308 Coordinator.h:384] Listener 0 on coordinator 0 exits.
I0909 19:25:46.135082 35294 Coordinator.h:433] Coordinator 0 connected to all peers.
I0909 19:25:46.135108 35294 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0909 19:25:46.135125 35294 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0909 19:25:46.135179 35309 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0909 19:25:46.135210 35294 Coordinator.h:146] Coordinator starts to run 3 workers.
I0909 19:25:46.135221 35310 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0909 19:25:46.135282 35311 Executor.h:74] Executor 0 starts.
I0909 19:25:46.135324 35311 CXLMemory.h:25] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0909 19:25:46.135344 35313 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0909 19:25:46.135386 35312 Executor.h:74] Executor 1 starts.
I0909 19:25:46.138855 35312 CXLMemory.h:25] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0909 19:25:47.135397 35294 Coordinator.h:237] commit: 66928 abort: 4841 (347/4026/468), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 288988, avg network size: 4.31789, si_in_serializable: 0 0 %, local: 25.1942 %, local_access: 972158, local_cxl_access: 17341 (1.78376%), remote_access: 16979, remote_access_with_req: 9763 (57.5004%), data_move_in: 9628, n_data_move_out: 8629
I0909 19:25:48.135522 35294 Coordinator.h:237] commit: 67789 abort: 4808 (353/4014/441), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 290660, avg network size: 4.28772, si_in_serializable: 0 0 %, local: 25.0763 %, local_access: 977000, local_cxl_access: 18974 (1.94207%), remote_access: 17141, remote_access_with_req: 9837 (57.3887%), data_move_in: 9615, n_data_move_out: 9615
I0909 19:25:49.135617 35294 Coordinator.h:237] commit: 67659 abort: 4780 (362/4014/404), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 285360, avg network size: 4.21762, si_in_serializable: 0 0 %, local: 24.9693 %, local_access: 974536, local_cxl_access: 17768 (1.82323%), remote_access: 17003, remote_access_with_req: 9645 (56.7253%), data_move_in: 9675, n_data_move_out: 9675
I0909 19:25:50.135711 35294 Coordinator.h:237] commit: 66342 abort: 4779 (315/4018/446), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 281284, avg network size: 4.23991, si_in_serializable: 0 0 %, local: 25.0384 %, local_access: 960946, local_cxl_access: 18061 (1.8795%), remote_access: 16769, remote_access_with_req: 9492 (56.6044%), data_move_in: 9354, n_data_move_out: 9354
I0909 19:25:51.135805 35294 Coordinator.h:237] commit: 66122 abort: 4726 (330/3942/454), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 282536, avg network size: 4.27295, si_in_serializable: 0 0 %, local: 25.3456 %, local_access: 955781, local_cxl_access: 17758 (1.85796%), remote_access: 16896, remote_access_with_req: 9557 (56.5637%), data_move_in: 9595, n_data_move_out: 9595
I0909 19:25:52.135892 35294 Coordinator.h:237] commit: 66008 abort: 4676 (306/3941/429), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 281576, avg network size: 4.26579, si_in_serializable: 0 0 %, local: 25.1348 %, local_access: 955024, local_cxl_access: 17520 (1.83451%), remote_access: 16775, remote_access_with_req: 9526 (56.7869%), data_move_in: 9328, n_data_move_out: 9328
I0909 19:25:53.135986 35294 Coordinator.h:237] commit: 65353 abort: 4854 (340/4033/481), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 279244, avg network size: 4.27286, si_in_serializable: 0 0 %, local: 24.8818 %, local_access: 944770, local_cxl_access: 16952 (1.7943%), remote_access: 16431, remote_access_with_req: 9432 (57.4037%), data_move_in: 9302, n_data_move_out: 9301
I0909 19:25:54.136080 35294 Coordinator.h:237] commit: 64961 abort: 4713 (324/3949/440), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 281576, avg network size: 4.33454, si_in_serializable: 0 0 %, local: 25.3583 %, local_access: 939864, local_cxl_access: 17052 (1.81431%), remote_access: 16576, remote_access_with_req: 9515 (57.4023%), data_move_in: 9299, n_data_move_out: 9300
I0909 19:25:55.136173 35294 Coordinator.h:237] commit: 64198 abort: 4657 (303/3889/465), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 277944, avg network size: 4.32948, si_in_serializable: 0 0 %, local: 25.3699 %, local_access: 932739, local_cxl_access: 17584 (1.8852%), remote_access: 16449, remote_access_with_req: 9404 (57.1706%), data_move_in: 9088, n_data_move_out: 9088
I0909 19:25:56.136260 35294 Coordinator.h:237] commit: 64504 abort: 4620 (325/3842/453), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 277128, avg network size: 4.29629, si_in_serializable: 0 0 %, local: 25.2139 %, local_access: 934617, local_cxl_access: 17580 (1.88098%), remote_access: 16468, remote_access_with_req: 9362 (56.8496%), data_move_in: 9212, n_data_move_out: 9212
I0909 19:25:57.136353 35294 Coordinator.h:237] commit: 64147 abort: 4566 (307/3850/409), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 275748, avg network size: 4.29869, si_in_serializable: 0 0 %, local: 25.3246 %, local_access: 928218, local_cxl_access: 17196 (1.85258%), remote_access: 16305, remote_access_with_req: 9311 (57.1052%), data_move_in: 9183, n_data_move_out: 9183
