Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET,Motor-RDMA(35thd)
0,1659400,1977110,1662780,1983590,1665610,450736
10,1049870,1079130,1109300,565441,656221,450075
20,1020160,755678,845751,328610,395730,450133
30,999524,585646,686313,228373,291429,450557
40,979764,480189,584870,173238,221664,451076
50,967290,406996,506470,141708,184771,451565
60,958171,354222,449749,122596,157640,451024
70,951754,312650,402218,106361,140804,451170
80,944455,281144,366508,91341.2,122009,451540
90,940627,254270,335670,82919,109687,451492
100,941399,233543,310155,73997.4,98933.8,452085
