Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,406298.0,404235.0,272403.0,275780.0,272139.0,275958.0
10,315541.0,307388.0,199154.0,197346.0,148867.0,147344.0
20,268935.0,261781.0,163203.0,160528.0,106208.0,103963.0
30,237408.0,229813.0,139844.0,137585.0,83160.8,81060.1
40,216149.0,208141.0,122901.0,120493.0,68634.1,66661.9
50,198293.0,191631.0,110061.0,107441.0,58352.1,56666.4
60,183876.0,178298.0,99821.6,97586.6,50723.3,49537.2
70,173627.0,166459.0,91353.8,88922.4,44993.6,43644.5
80,163780.0,157413.0,84560.7,82079.9,40370.7,39156.5
90,154868.0,148522.0,78484.4,76486.7,36581.9,35549.1
100,148615.0,141803.0,73698.4,71458.1,33479.4,32459.2
