Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,545953,20620384,100547882,16777664,39416,945984,0.0513722,98.8857%,0.738533%,8227,0,12569058,0
Eagerly-OnDemand-10K,372440,19940256,44872,16777664,619843,14876232,0.0578751,11.19%,68.9003%,568709,568704,194740530,194733262
Eagerly-OnDemand-100K,281348,19251616,589340,16777664,378793,9091032,0.0898166,30.5542%,45.9718%,324600,324269,119443260,119352568
Eagerly-OnDemand-1MB,321965,19554784,4441380,16777664,259748,6233952,0.0885441,52.4667%,29.9172%,235908,233483,82247216,81780010
Eagerly-OnDemand-10MB,483877,20445568,72976250,16777664,91884,2205216,0.0565103,86.2317%,7.3676%,76523,63267,29073580,19991740
Eagerly-OnDemand-100MB,548286,20626432,100577744,16777664,39701,952824,0.0511158,98.75%,0.726546%,8185,0,12577274,0
Eagerly-Reactive-1,406370,20119136,8848,16777664,828872,19892928,0.0487224,1.86695%,87.8718%,771931,771934,258946990,258943198
OnDemandFIFO-OnDemand-10K,377761,19949536,79632,16777664,599261,14382264,0.0568129,13.786%,66.5306%,558033,558033,188750276,188740322
OnDemandFIFO-OnDemand-100K,365825,19877952,798848,16777664,431261,10350264,0.0617886,33.5526%,48.3477%,398026,398026,135615508,135515652
OnDemandFIFO-OnDemand-1MB,399803,20058912,7999856,16777664,272701,6544824,0.0616343,57.2189%,28.7995%,258203,258203,86279060,85279078
OnDemandFIFO-OnDemand-10MB,515753,20550560,79999824,16777664,60858,1460592,0.0534214,93.9502%,3.78337%,41323,41323,19215644,9215666
OnDemandFIFO-OnDemand-100MB,548434,20631648,100603498,16777664,40017,960408,0.0507313,98.2811%,0.715435%,8173,0,12567320,0
