killing previous experiments...
initializing cxl memory...
I0912 17:38:44.159920 64061 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0912 17:38:44.159965 64061 Database.h:166] creating hash tables for database...
I0912 17:38:44.164618 64061 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0912 17:38:44.164868 64061 Database.h:146] district initialization finished in 0 milliseconds.
I0912 17:38:44.296938 64061 Database.h:146] customer initialization finished in 132 milliseconds.
I0912 17:38:44.314452 64061 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0912 17:38:44.382531 64061 Database.h:146] item initialization finished in 68 milliseconds.
I0912 17:38:44.667973 64061 Database.h:146] stock initialization finished in 285 milliseconds.
I0912 17:38:44.715704 64061 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0912 17:38:44.715721 64061 Coordinator.h:42] Coordinator initializes 2 workers.
I0912 17:38:44.717003 64061 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0912 17:38:44.755127 64061 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 4087 Bytes)
I0912 17:38:44.755453 64075 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0912 17:38:44.755860 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.755877 64061 Coordinator.h:423] Coordinator 0 connected to 1
I0912 17:38:44.756074 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756080 64061 Coordinator.h:423] Coordinator 0 connected to 2
I0912 17:38:44.756218 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756224 64061 Coordinator.h:423] Coordinator 0 connected to 3
I0912 17:38:44.756517 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756523 64061 Coordinator.h:423] Coordinator 0 connected to 4
I0912 17:38:44.756661 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756666 64061 Coordinator.h:423] Coordinator 0 connected to 5
I0912 17:38:44.756811 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756816 64061 Coordinator.h:423] Coordinator 0 connected to 6
I0912 17:38:44.756953 64061 Socket.h:69] Disabling nagle
I0912 17:38:44.756959 64061 Coordinator.h:423] Coordinator 0 connected to 7
I0912 17:38:49.755666 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755676 64075 Coordinator.h:383] Listener accepted connection from coordinator 1
I0912 17:38:49.755683 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755686 64075 Coordinator.h:383] Listener accepted connection from coordinator 2
I0912 17:38:49.755692 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755694 64075 Coordinator.h:383] Listener accepted connection from coordinator 4
I0912 17:38:49.755700 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755702 64075 Coordinator.h:383] Listener accepted connection from coordinator 3
I0912 17:38:49.755955 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755959 64075 Coordinator.h:383] Listener accepted connection from coordinator 5
I0912 17:38:49.755965 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755967 64075 Coordinator.h:383] Listener accepted connection from coordinator 6
I0912 17:38:49.755990 64075 Socket.h:69] Disabling nagle
I0912 17:38:49.755993 64075 Coordinator.h:383] Listener accepted connection from coordinator 7
I0912 17:38:49.755995 64075 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0912 17:38:49.756078 64061 Coordinator.h:435] Coordinator 0 connected to all peers.
I0912 17:38:49.756156 64061 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0912 17:38:49.756224 64061 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0912 17:38:49.756332 64076 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0912 17:38:49.756417 64061 Coordinator.h:146] Coordinator starts to run 3 workers.
I0912 17:38:49.756451 64077 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0912 17:38:49.756582 64078 Executor.h:74] Executor 0 starts.
I0912 17:38:49.756623 64078 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0912 17:38:49.756644 64080 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0912 17:38:49.756683 64079 Executor.h:74] Executor 1 starts.
I0912 17:38:49.756707 64079 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0912 17:38:50.756704 64061 Coordinator.h:237] commit: 72183 abort: 5262 (341/4456/465), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232180, avg network size: 3.21655, si_in_serializable: 0 0 %, local: 12.539 %, local_access: 1047762, local_cxl_access: 296 (0.0282507%), remote_access: 9146, remote_access_with_req: 7664 (83.7962%), data_move_in: 7726, n_data_move_out: 7708
I0912 17:38:51.756834 64061 Coordinator.h:237] commit: 72529 abort: 5232 (344/4433/455), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232560, avg network size: 3.20644, si_in_serializable: 0 0 %, local: 12.526 %, local_access: 1052683, local_cxl_access: 311 (0.0295436%), remote_access: 9169, remote_access_with_req: 7679 (83.7496%), data_move_in: 7578, n_data_move_out: 7579
I0912 17:38:52.756927 64061 Coordinator.h:237] commit: 72142 abort: 5321 (356/4505/460), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 231208, avg network size: 3.2049, si_in_serializable: 0 0 %, local: 12.4934 %, local_access: 1052140, local_cxl_access: 324 (0.0307944%), remote_access: 9212, remote_access_with_req: 7629 (82.8159%), data_move_in: 7636, n_data_move_out: 7637
I0912 17:38:53.757018 64061 Coordinator.h:237] commit: 72307 abort: 5266 (357/4439/470), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232996, avg network size: 3.22232, si_in_serializable: 0 0 %, local: 12.5811 %, local_access: 1045900, local_cxl_access: 245 (0.0234248%), remote_access: 9229, remote_access_with_req: 7697 (83.4002%), data_move_in: 7553, n_data_move_out: 7552
I0912 17:38:54.757124 64061 Coordinator.h:237] commit: 71807 abort: 5478 (355/4662/461), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232964, avg network size: 3.24431, si_in_serializable: 0 0 %, local: 12.6937 %, local_access: 1039798, local_cxl_access: 282 (0.0271207%), remote_access: 9187, remote_access_with_req: 7685 (83.6508%), data_move_in: 7566, n_data_move_out: 7564
I0912 17:38:55.757220 64061 Coordinator.h:237] commit: 71613 abort: 5297 (393/4497/407), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 231256, avg network size: 3.22925, si_in_serializable: 0 0 %, local: 12.534 %, local_access: 1038473, local_cxl_access: 281 (0.027059%), remote_access: 9172, remote_access_with_req: 7633 (83.2207%), data_move_in: 7579, n_data_move_out: 7582
I0912 17:38:56.757310 64061 Coordinator.h:237] commit: 71318 abort: 5175 (356/4400/419), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232976, avg network size: 3.26672, si_in_serializable: 0 0 %, local: 12.6448 %, local_access: 1039286, local_cxl_access: 307 (0.0295395%), remote_access: 9139, remote_access_with_req: 7705 (84.309%), data_move_in: 7585, n_data_move_out: 7585
I0912 17:38:57.757400 64061 Coordinator.h:237] commit: 71527 abort: 5245 (376/4390/479), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 232216, avg network size: 3.24655, si_in_serializable: 0 0 %, local: 12.6679 %, local_access: 1038041, local_cxl_access: 262 (0.0252399%), remote_access: 9190, remote_access_with_req: 7659 (83.3406%), data_move_in: 7435, n_data_move_out: 7436
I0912 17:38:58.757495 64061 Coordinator.h:237] commit: 70296 abort: 5270 (340/4491/439), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 227956, avg network size: 3.2428, si_in_serializable: 0 0 %, local: 12.7504 %, local_access: 1021125, local_cxl_access: 291 (0.028498%), remote_access: 9027, remote_access_with_req: 7518 (83.2835%), data_move_in: 7575, n_data_move_out: 7570
I0912 17:38:59.757589 64061 Coordinator.h:237] commit: 71775 abort: 5238 (378/4412/448), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 229652, avg network size: 3.19961, si_in_serializable: 0 0 %, local: 12.6423 %, local_access: 1040567, local_cxl_access: 268 (0.0257552%), remote_access: 9197, remote_access_with_req: 7580 (82.4182%), data_move_in: 7480, n_data_move_out: 7482
I0912 17:39:00.757683 64061 Coordinator.h:237] commit: 71569 abort: 5130 (343/4370/417), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 231876, avg network size: 3.23989, si_in_serializable: 0 0 %, local: 12.6703 %, local_access: 1038777, local_cxl_access: 237 (0.0228153%), remote_access: 9194, remote_access_with_req: 7654 (83.2499%), data_move_in: 7445, n_data_move_out: 7443
