Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,2415580.0,3562250.0,2444420.0,2574730.0,2372320.0,1724290.0,1760520.0
10,1591600.0,2701760.0,1482830.0,951430.0,1816670.0,1074020.0,742961.0
20,1564190.0,2071580.0,1069490.0,601668.0,1486690.0,811695.0,454069.0
30,1494220.0,1736720.0,809965.0,427548.0,1263870.0,646144.0,331903.0
40,1469300.0,1446150.0,675813.0,339753.0,1135990.0,535378.0,263130.0
50,1447420.0,1278950.0,626145.0,279520.0,998110.0,466579.0,203076.0
60,1409060.0,1191470.0,513092.0,239938.0,890883.0,411354.0,181878.0
70,1395570.0,1114060.0,466115.0,208364.0,796927.0,390889.0,154923.0
80,1366680.0,1036160.0,435212.0,179057.0,750449.0,353585.0,146104.0
90,1358830.0,966653.0,353708.0,163102.0,685245.0,305401.0,125379.0
100,1336220.0,900989.0,321102.0,150245.0,652116.0,280968.0,112299.0
