Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
NoMoveOut-OnDemand-0-WriteThrough,474507,20352160,106759490,16777664,39330,943920,0.0553009,97.8029%,0.944281%,9614,0,13333440,0,2525062,16633584,33856452,2525062,93.0595%
NoMoveOut-OnDemand-0-NoOP,545899,20612480,105597912,16777664,39727,953448,0.0510105,98.3825%,0.730562%,8148,0,13187040,0,0,0,0,0,-nan%
NoMoveOut-OnDemand-0-NonTemporal,392486,19884928,101823736,16777664,38145,915480,0.0590558,98.1012%,1.33853%,11068,0,12743986,0,30194133,13727037,0,0,-nan%
Eagerly-OnDemand-10K-WriteThrough,351997,19767680,37578418,16777664,591635,14199240,0.0607042,10.8778%,68.7225%,539683,539678,199829560,195126858,2064960,2094212,4037360,2064960,66.1611%
Eagerly-OnDemand-10K-NoOP,373814,19940320,41500,16777664,624021,14976504,0.0580029,10.8923%,69.2219%,573628,573649,206132492,206124192,0,0,0,0,-nan%
Eagerly-OnDemand-10K-NonTemporal,357092,19782496,58100,16777664,596620,14318880,0.0605091,10.8564%,68.7708%,550577,550569,196825370,196817236,6103317,2084717,0,0,-nan%
Eagerly-OnDemand-100K-WriteThrough,261390,18997120,23082106,16777664,355942,8542608,0.0960616,30.1255%,45.8467%,303238,303404,120891420,118017534,1647146,3742096,7965142,1647146,82.8642%
Eagerly-OnDemand-100K-NoOP,283895,19293376,488538,16777664,383754,9210096,0.0890932,30.0761%,47.0677%,331281,331357,127745466,127697990,0,0,0,0,-nan%
Eagerly-OnDemand-100K-NonTemporal,269594,19046176,351422,16777664,359175,8620200,0.0903455,29.9145%,47.0857%,313619,313530,119014198,118974192,9548731,3738729,0,0,-nan%
Eagerly-OnDemand-1MB-WriteThrough,295211,19255200,19215774,16777664,243188,5836512,0.0875299,51.8606%,29.9828%,218850,216143,82422800,79765158,1756621,6626133,14104313,1756621,88.9249%
Eagerly-OnDemand-1MB-NoOP,319676,19524768,5031460,16777664,260626,6255024,0.0795312,51.899%,29.5444%,234919,234270,86549744,85766390,0,0,0,0,-nan%
Eagerly-OnDemand-1MB-NonTemporal,286192,19073024,4864630,16777664,230192,5524608,0.0839971,51.9207%,30.3574%,210970,210175,76418266,75780328,14906148,6258049,0,0,-nan%
Eagerly-OnDemand-10MB-WriteThrough,424454,20157920,79528418,16777664,87813,2107512,0.0612564,86.4913%,8.11966%,73194,60213,29902830,19991048,2326492,13992246,28669999,2326492,92.4943%
Eagerly-OnDemand-10MB-NoOP,458871,20389856,21930924,16777664,97860,2348640,0.0597551,84.4842%,8.69171%,86121,120430,32519898,29986572,0,0,0,0,-nan%
Eagerly-OnDemand-10MB-NonTemporal,365754,19719680,53431748,16777664,80420,1930080,0.0622201,84.5212%,8.95025%,71541,60218,26723842,19993040,26332726,11813714,0,0,-nan%
Eagerly-OnDemand-100MB-WriteThrough,473324,20347456,106734500,16777664,39230,941520,0.0549807,98.2096%,0.957547%,9566,0,13348570,0,2517819,16659077,33886582,2517819,93.0838%
Eagerly-OnDemand-100MB-NoOP,544438,20607840,105573842,16777664,39839,956136,0.050875,98.3732%,0.731618%,8298,0,13197996,0,0,0,0,0,-nan%
