killing previous experiments...
initializing cxl memory...
I0917 06:15:03.908389 108180 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0917 06:15:03.908432 108180 Database.h:166] creating hash tables for database...
I0917 06:15:03.913162 108180 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0917 06:15:03.913389 108180 Database.h:146] district initialization finished in 0 milliseconds.
I0917 06:15:04.045353 108180 Database.h:146] customer initialization finished in 131 milliseconds.
I0917 06:15:04.063189 108180 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0917 06:15:04.131042 108180 Database.h:146] item initialization finished in 67 milliseconds.
I0917 06:15:04.410171 108180 Database.h:146] stock initialization finished in 279 milliseconds.
I0917 06:15:04.458019 108180 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0917 06:15:04.458037 108180 Coordinator.h:42] Coordinator initializes 2 workers.
I0917 06:15:04.459283 108180 SundialPashaHelper.h:421] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0917 06:15:04.459508 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.460157 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.460808 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.461453 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.462109 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.462790 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.463464 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.464126 108180 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0917 06:15:04.464778 108180 Coordinator.h:336] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0917 06:15:04.465010 108194 Coordinator.h:372] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0917 06:15:04.465446 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.465462 108180 Coordinator.h:427] Coordinator 0 connected to 1
I0917 06:15:04.465649 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.465662 108180 Coordinator.h:427] Coordinator 0 connected to 2
I0917 06:15:04.465776 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.465781 108180 Coordinator.h:427] Coordinator 0 connected to 3
I0917 06:15:04.465907 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.465912 108180 Coordinator.h:427] Coordinator 0 connected to 4
I0917 06:15:04.466041 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.466046 108180 Coordinator.h:427] Coordinator 0 connected to 5
I0917 06:15:04.466158 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.466163 108180 Coordinator.h:427] Coordinator 0 connected to 6
I0917 06:15:04.466305 108180 Socket.h:69] Disabling nagle
I0917 06:15:04.466310 108180 Coordinator.h:427] Coordinator 0 connected to 7
I0917 06:15:09.465286 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465313 108194 Coordinator.h:387] Listener accepted connection from coordinator 3
I0917 06:15:09.465327 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465329 108194 Coordinator.h:387] Listener accepted connection from coordinator 5
I0917 06:15:09.465335 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465338 108194 Coordinator.h:387] Listener accepted connection from coordinator 7
I0917 06:15:09.465344 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465346 108194 Coordinator.h:387] Listener accepted connection from coordinator 2
I0917 06:15:09.465353 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465355 108194 Coordinator.h:387] Listener accepted connection from coordinator 4
I0917 06:15:09.465545 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465548 108194 Coordinator.h:387] Listener accepted connection from coordinator 1
I0917 06:15:09.465582 108194 Socket.h:69] Disabling nagle
I0917 06:15:09.465585 108194 Coordinator.h:387] Listener accepted connection from coordinator 6
I0917 06:15:09.465587 108194 Coordinator.h:390] Listener 0 on coordinator 0 exits.
I0917 06:15:09.465682 108180 Coordinator.h:439] Coordinator 0 connected to all peers.
I0917 06:15:09.465698 108180 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0917 06:15:09.465721 108180 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0917 06:15:09.465778 108195 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0917 06:15:09.465812 108180 Coordinator.h:146] Coordinator starts to run 3 workers.
I0917 06:15:09.465837 108196 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0917 06:15:09.465867 108197 Executor.h:74] Executor 0 starts.
I0917 06:15:09.465900 108197 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0917 06:15:09.465965 108199 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0917 06:15:09.466009 108198 Executor.h:74] Executor 1 starts.
I0917 06:15:09.466023 108198 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0917 06:15:10.466024 108180 Coordinator.h:237] commit: 81184 abort: 5099 (378/4291/430), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 152872, avg network size: 1.88303, si_in_serializable: 0 0 %, local: 12.2463 %, local_access: 1176356, local_cxl_access: 55658 (4.73139%), remote_access: 9974, remote_access_with_req: 5170 (51.8348%), data_move_in: 5152, n_data_move_out: 0
I0917 06:15:11.466143 108180 Coordinator.h:237] commit: 82820 abort: 5043 (422/4246/375), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 129192, avg network size: 1.55991, si_in_serializable: 0 0 %, local: 12.2748 %, local_access: 1199462, local_cxl_access: 124424 (10.3733%), remote_access: 10133, remote_access_with_req: 4383 (43.2547%), data_move_in: 4440, n_data_move_out: 0
I0917 06:15:12.466226 108180 Coordinator.h:237] commit: 82946 abort: 4864 (418/4061/385), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 118056, avg network size: 1.42329, si_in_serializable: 0 0 %, local: 12.7517 %, local_access: 1201836, local_cxl_access: 167299 (13.9203%), remote_access: 10581, remote_access_with_req: 3999 (37.7942%), data_move_in: 3893, n_data_move_out: 0
I0917 06:15:13.466320 108180 Coordinator.h:237] commit: 83637 abort: 4840 (396/4043/401), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 101180, avg network size: 1.20975, si_in_serializable: 0 0 %, local: 12.5339 %, local_access: 1208155, local_cxl_access: 198606 (16.4388%), remote_access: 10386, remote_access_with_req: 3435 (33.0734%), data_move_in: 3501, n_data_move_out: 0
I0917 06:15:14.466423 108180 Coordinator.h:237] commit: 83770 abort: 4714 (417/3949/348), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 96668, avg network size: 1.15397, si_in_serializable: 0 0 %, local: 12.4782 %, local_access: 1214322, local_cxl_access: 223550 (18.4094%), remote_access: 10377, remote_access_with_req: 3277 (31.5795%), data_move_in: 3222, n_data_move_out: 491
I0917 06:15:15.466512 108180 Coordinator.h:237] commit: 83147 abort: 4759 (428/3947/384), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 97704, avg network size: 1.17508, si_in_serializable: 0 0 %, local: 12.5164 %, local_access: 1202368, local_cxl_access: 209242 (17.4025%), remote_access: 10333, remote_access_with_req: 3323 (32.1591%), data_move_in: 3358, n_data_move_out: 3244
I0917 06:15:16.466603 108180 Coordinator.h:237] commit: 82344 abort: 4822 (405/4077/340), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 106164, avg network size: 1.28927, si_in_serializable: 0 0 %, local: 12.8157 %, local_access: 1190610, local_cxl_access: 197996 (16.6298%), remote_access: 10555, remote_access_with_req: 3607 (34.1734%), data_move_in: 3450, n_data_move_out: 3429
I0917 06:15:17.466691 108180 Coordinator.h:237] commit: 82508 abort: 4782 (430/4019/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 104516, avg network size: 1.26674, si_in_serializable: 0 0 %, local: 12.5854 %, local_access: 1190588, local_cxl_access: 197643 (16.6005%), remote_access: 10260, remote_access_with_req: 3544 (34.5419%), data_move_in: 3587, n_data_move_out: 3582
I0917 06:15:18.466773 108180 Coordinator.h:237] commit: 82071 abort: 4696 (389/3957/350), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 102664, avg network size: 1.25092, si_in_serializable: 0 0 %, local: 12.6281 %, local_access: 1189450, local_cxl_access: 201834 (16.9687%), remote_access: 10354, remote_access_with_req: 3491 (33.7164%), data_move_in: 3401, n_data_move_out: 3391
I0917 06:15:19.466862 108180 Coordinator.h:237] commit: 82652 abort: 4738 (401/3985/352), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 100724, avg network size: 1.21865, si_in_serializable: 0 0 %, local: 12.6325 %, local_access: 1188831, local_cxl_access: 203751 (17.1388%), remote_access: 10378, remote_access_with_req: 3415 (32.9061%), data_move_in: 3346, n_data_move_out: 3359
I0917 06:15:20.466951 108180 Coordinator.h:237] commit: 82285 abort: 4963 (419/4150/394), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 97152, avg network size: 1.18068, si_in_serializable: 0 0 %, local: 12.436 %, local_access: 1184911, local_cxl_access: 208086 (17.5613%), remote_access: 10156, remote_access_with_req: 3295 (32.4439%), data_move_in: 3363, n_data_move_out: 3427
I0917 06:15:21.467041 108180 Coordinator.h:237] commit: 81595 abort: 4806 (434/3988/384), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 101472, avg network size: 1.24361, si_in_serializable: 0 0 %, local: 12.4003 %, local_access: 1181917, local_cxl_access: 201858 (17.0789%), remote_access: 10166, remote_access_with_req: 3445 (33.8875%), data_move_in: 3456, n_data_move_out: 3489
