Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,456895,21127488,103051708,268435776,40548,973152,0.057544,99.7985%,0.189904%,3544,0,12883794,0
Eagerly-OnDemand-10K,246112,20617376,42976,268435776,831671,19960104,0.0718738,11.5122%,69.7282%,748640,748600,262224858,262222014
Eagerly-OnDemand-100K,166944,19932384,315210,268435776,465270,11166480,0.132085,30.7545%,43.8966%,384895,385101,147106848,147049178
Eagerly-OnDemand-1MB,204008,20295712,5426668,268435776,336347,8072328,0.115054,52.3189%,28.8054%,297906,296533,106664694,105685568
Eagerly-OnDemand-10MB,355232,21005600,30937032,268435776,138779,3330696,0.0714548,86.2516%,8.12269%,125080,126530,44044554,39981900
Eagerly-OnDemand-100MB,460232,21131296,103070510,268435776,40633,975192,0.0576462,99.7821%,0.181343%,3460,0,12886164,0
Eagerly-Reactive-1,273743,20745184,7584,268435776,1145824,27499776,0.0582842,2.25919%,90.3008%,1047732,1047737,358563462,358557142
OnDemandFIFO-OnDemand-10K,253627,20644576,79632,268435776,819700,19672800,0.0692494,13.8882%,67.5965%,747984,747984,258888846,258878892
OnDemandFIFO-OnDemand-100K,244966,20584192,798848,268435776,587488,14099712,0.0760298,33.5199%,49.117%,533496,533496,184956538,184856682
OnDemandFIFO-OnDemand-1MB,281565,20775936,7999856,268435776,390401,9369624,0.0741537,56.8744%,29.2523%,362730,362731,122990834,121990852
OnDemandFIFO-OnDemand-10MB,407085,21086368,79999824,268435776,87377,2097048,0.0624728,93.5203%,3.84193%,65820,65820,27462612,17462634
OnDemandFIFO-OnDemand-100MB,460066,21128160,103055026,268435776,40609,974616,0.0576289,99.78%,0.187008%,3625,0,12880476,0
