killing previous experiments...
initializing cxl memory...
I0911 22:08:41.868461 51316 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0911 22:08:41.868505 51316 Database.h:166] creating hash tables for database...
I0911 22:08:41.873229 51316 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0911 22:08:41.873462 51316 Database.h:146] district initialization finished in 0 milliseconds.
I0911 22:08:42.005661 51316 Database.h:146] customer initialization finished in 132 milliseconds.
I0911 22:08:42.023308 51316 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0911 22:08:42.091848 51316 Database.h:146] item initialization finished in 68 milliseconds.
I0911 22:08:42.373875 51316 Database.h:146] stock initialization finished in 282 milliseconds.
I0911 22:08:42.421427 51316 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0911 22:08:42.421443 51316 Coordinator.h:42] Coordinator initializes 2 workers.
I0911 22:08:42.422755 51316 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0911 22:08:42.496169 51316 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 8183 Bytes)
I0911 22:08:42.496555 51330 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0911 22:08:42.496891 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.496908 51316 Coordinator.h:423] Coordinator 0 connected to 1
I0911 22:08:42.497112 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497118 51316 Coordinator.h:423] Coordinator 0 connected to 2
I0911 22:08:42.497254 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497259 51316 Coordinator.h:423] Coordinator 0 connected to 3
I0911 22:08:42.497383 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497388 51316 Coordinator.h:423] Coordinator 0 connected to 4
I0911 22:08:42.497504 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497509 51316 Coordinator.h:423] Coordinator 0 connected to 5
I0911 22:08:42.497629 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497640 51316 Coordinator.h:423] Coordinator 0 connected to 6
I0911 22:08:42.497758 51316 Socket.h:69] Disabling nagle
I0911 22:08:42.497763 51316 Coordinator.h:423] Coordinator 0 connected to 7
I0911 22:08:47.496742 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.496753 51330 Coordinator.h:383] Listener accepted connection from coordinator 2
I0911 22:08:47.496764 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.496766 51330 Coordinator.h:383] Listener accepted connection from coordinator 3
I0911 22:08:47.496773 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.496775 51330 Coordinator.h:383] Listener accepted connection from coordinator 1
I0911 22:08:47.496780 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.496783 51330 Coordinator.h:383] Listener accepted connection from coordinator 5
I0911 22:08:47.496990 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.496994 51330 Coordinator.h:383] Listener accepted connection from coordinator 4
I0911 22:08:47.497038 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.497041 51330 Coordinator.h:383] Listener accepted connection from coordinator 6
I0911 22:08:47.497046 51330 Socket.h:69] Disabling nagle
I0911 22:08:47.497048 51330 Coordinator.h:383] Listener accepted connection from coordinator 7
I0911 22:08:47.497051 51330 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0911 22:08:47.497138 51316 Coordinator.h:435] Coordinator 0 connected to all peers.
I0911 22:08:47.497174 51316 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0911 22:08:47.497189 51316 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0911 22:08:47.497257 51331 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0911 22:08:47.497301 51316 Coordinator.h:146] Coordinator starts to run 3 workers.
I0911 22:08:47.497320 51332 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0911 22:08:47.497387 51333 Executor.h:74] Executor 0 starts.
I0911 22:08:47.497427 51333 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0911 22:08:47.497469 51334 Executor.h:74] Executor 1 starts.
I0911 22:08:47.497509 51334 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0911 22:08:47.497680 51335 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0911 22:08:48.497525 51316 Coordinator.h:237] commit: 56971 abort: 5111 (272/4348/491), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 387868, avg network size: 6.80817, si_in_serializable: 0 0 %, local: 25.2005 %, local_access: 829974, local_cxl_access: 114 (0.0137354%), remote_access: 14771, remote_access_with_req: 12775 (86.487%), data_move_in: 12572, n_data_move_out: 12557
I0911 22:08:49.497654 51316 Coordinator.h:237] commit: 56978 abort: 5145 (259/4431/455), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 387688, avg network size: 6.80417, si_in_serializable: 0 0 %, local: 25.3431 %, local_access: 824758, local_cxl_access: 101 (0.012246%), remote_access: 14715, remote_access_with_req: 12752 (86.6599%), data_move_in: 12639, n_data_move_out: 12645
I0911 22:08:50.497742 51316 Coordinator.h:237] commit: 56992 abort: 5080 (264/4371/445), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 386216, avg network size: 6.77667, si_in_serializable: 0 0 %, local: 25.1369 %, local_access: 826808, local_cxl_access: 116 (0.0140299%), remote_access: 14757, remote_access_with_req: 12729 (86.2574%), data_move_in: 12524, n_data_move_out: 12523
I0911 22:08:51.497843 51316 Coordinator.h:237] commit: 56787 abort: 4921 (259/4208/454), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 384204, avg network size: 6.7657, si_in_serializable: 0 0 %, local: 25.1149 %, local_access: 822836, local_cxl_access: 119 (0.0144622%), remote_access: 14581, remote_access_with_req: 12654 (86.7842%), data_move_in: 12394, n_data_move_out: 12397
I0911 22:08:52.497946 51316 Coordinator.h:237] commit: 56240 abort: 5005 (251/4296/458), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 383436, avg network size: 6.81785, si_in_serializable: 0 0 %, local: 25.2881 %, local_access: 815131, local_cxl_access: 111 (0.0136174%), remote_access: 14557, remote_access_with_req: 12614 (86.6525%), data_move_in: 12268, n_data_move_out: 12261
I0911 22:08:53.498041 51316 Coordinator.h:237] commit: 56014 abort: 5068 (277/4337/454), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 384540, avg network size: 6.86507, si_in_serializable: 0 0 %, local: 25.3704 %, local_access: 810448, local_cxl_access: 122 (0.0150534%), remote_access: 14674, remote_access_with_req: 12651 (86.2137%), data_move_in: 12400, n_data_move_out: 12409
I0911 22:08:54.498135 51316 Coordinator.h:237] commit: 55504 abort: 5151 (305/4353/493), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 376948, avg network size: 6.79137, si_in_serializable: 0 0 %, local: 25.2342 %, local_access: 808171, local_cxl_access: 104 (0.0128686%), remote_access: 14512, remote_access_with_req: 12413 (85.5361%), data_move_in: 12209, n_data_move_out: 12206
I0911 22:08:55.498227 51316 Coordinator.h:237] commit: 55372 abort: 5080 (272/4332/476), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 379572, avg network size: 6.85494, si_in_serializable: 0 0 %, local: 25.5635 %, local_access: 806960, local_cxl_access: 110 (0.0136314%), remote_access: 14512, remote_access_with_req: 12502 (86.1494%), data_move_in: 12358, n_data_move_out: 12365
I0911 22:08:56.498318 51316 Coordinator.h:237] commit: 55136 abort: 5069 (278/4336/455), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 373728, avg network size: 6.77829, si_in_serializable: 0 0 %, local: 25.2811 %, local_access: 799408, local_cxl_access: 128 (0.0160118%), remote_access: 14380, remote_access_with_req: 12301 (85.5424%), data_move_in: 12307, n_data_move_out: 12299
I0911 22:08:57.498420 51316 Coordinator.h:237] commit: 55518 abort: 4951 (271/4240/440), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 373728, avg network size: 6.73165, si_in_serializable: 0 0 %, local: 24.855 %, local_access: 806442, local_cxl_access: 122 (0.0151282%), remote_access: 14239, remote_access_with_req: 12310 (86.4527%), data_move_in: 12248, n_data_move_out: 12252
I0911 22:08:58.498515 51316 Coordinator.h:237] commit: 55663 abort: 4979 (308/4215/456), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 374252, avg network size: 6.72353, si_in_serializable: 0 0 %, local: 24.9645 %, local_access: 809666, local_cxl_access: 90 (0.0111157%), remote_access: 14266, remote_access_with_req: 12321 (86.3662%), data_move_in: 12198, n_data_move_out: 12196
