Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,675324,21227776,103546880,268435776,40990,983760,0.00300562,100%,0%,0,0,12943360,0
Eagerly-OnDemand-10K,391193,21227776,39500,268435776,1394552,33469248,0.00439219,0.0435995%,99.414%,1371140,1371149,441388010,441383270
Eagerly-OnDemand-100K,235949,21227776,435290,268435776,863370,20720880,0.0194042,0.409985%,97.7787%,825992,825748,273443964,273360382
Eagerly-OnDemand-1MB,191981,21227776,3408850,268435776,689192,16540608,0.0303007,3.92619%,92.9217%,646867,644829,217701248,216769048
Eagerly-OnDemand-10MB,314046,21227776,24022162,268435776,601802,14443248,0.0161335,47.6701%,51.3866%,569945,569253,189838264,179879998
Eagerly-OnDemand-100MB,681479,21227776,103546880,268435776,41066,985584,0.00307526,100%,0%,0,0,12943360,0
Eagerly-Reactive-1,428551,21227776,790,268435776,1528841,36692184,0.00384974,0.00603591%,99.8429%,1506182,1506180,481902686,481902686
OnDemandFIFO-OnDemand-10K,393386,21227776,79632,268435776,1402859,33668616,0.00403787,0.0786145%,99.3817%,1377695,1377695,442882058,442872104
OnDemandFIFO-OnDemand-100K,340946,21227776,798848,268435776,1212913,29109912,0.00440565,0.772981%,98.6616%,1181195,1181194,381689764,381589908
OnDemandFIFO-OnDemand-1MB,344196,21227776,7999856,268435776,1135376,27249024,0.0044192,7.7404%,91.7109%,1111017,1111018,359038252,358038270
OnDemandFIFO-OnDemand-10MB,490770,21227776,79999824,268435776,412031,9888744,0.00361564,77.3575%,22.6301%,391467,391467,130074764,120074786
OnDemandFIFO-OnDemand-100MB,683090,21227776,103546880,268435776,40710,977040,0.00299491,100%,0%,0,0,12943360,0
