Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1400160.0,1368770.0,949601.0,936357.0,945365.0,939191.0
10,846781.0,866288.0,524460.0,562657.0,345230.0,407092.0
20,601883.0,632600.0,364202.0,404925.0,217386.0,255100.0
30,463264.0,494831.0,279261.0,315280.0,161826.0,185544.0
40,375694.0,405105.0,226412.0,258511.0,124252.0,146937.0
50,315176.0,342494.0,190408.0,219238.0,102097.0,125776.0
60,271683.0,295982.0,164545.0,190352.0,86953.1,108632.0
70,238523.0,261218.0,143586.0,168219.0,75045.1,92687.7
80,212512.0,233035.0,128943.0,150634.0,65815.6,80681.9
90,191536.0,210525.0,116708.0,136430.0,58316.9,70943.9
100,174311.0,191878.0,105763.0,124886.0,51517.8,65761.9
