Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,227668.0,231608.0,154416.0,156301.0,154690.0,156864.0
10,182716.0,183521.0,117302.0,118038.0,97841.9,98052.6
20,158532.0,158750.0,99654.9,99304.6,75066.9,75046.4
30,141790.0,141437.0,87665.0,88107.6,61070.9,60913.8
40,129399.0,129154.0,78996.0,78860.5,51656.3,51550.7
50,119763.0,119265.0,71917.3,71235.3,45055.5,44828.8
60,111757.0,111518.0,66238.8,66017.9,39850.1,39548.9
70,105661.0,105138.0,61596.8,61101.1,35960.2,35649.3
80,100141.0,98920.3,57625.9,56882.6,32729.7,32340.0
90,95703.4,94372.5,54198.8,53551.8,29935.0,29618.6
100,91601.9,90504.6,51312.6,50447.1,27726.6,27374.3
