Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,2888450.0,2586940.0,1888250.0,1740340.0,1903240.0,1747630.0
10,1801990.0,1376630.0,859597.0,801460.0,672016.0,443919.0
20,1213130.0,1069950.0,644883.0,445478.0,411333.0,375627.0
30,931722.0,890112.0,495086.0,454857.0,340963.0,233155.0
40,880496.0,750608.0,324596.0,386803.0,302618.0,199476.0
50,746816.0,645028.0,351087.0,385700.0,239369.0,197223.0
60,648967.0,566989.0,289930.0,254328.0,182730.0,162323.0
70,579159.0,472777.0,254491.0,294065.0,169287.0,121698.0
80,518680.0,358842.0,231217.0,200056.0,122003.0,112793.0
90,435557.0,405330.0,265714.0,137301.0,116325.0,102399.0
100,387524.0,374074.0,154262.0,123743.0,128586.0,85134.2
