Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,678791,30480384,418411812,268435776,54316,1590024,0.0426123,36.5012%,5.41243%,17125,0,52300248,0
Eagerly-OnDemand-10K,527279,27938144,43680,268435776,337508,10245516,0.0604088,0.0135128%,86.6166%,218946,218940,390123188,390120640
Eagerly-OnDemand-100K,532672,28381632,460096,268435776,259654,7738772,0.06119,0.188553%,64.1984%,165123,164992,275162888,275160340
Eagerly-OnDemand-1MB,507761,28052416,3446352,268435776,218801,6470060,0.0702688,1.95657%,55.1544%,135557,136059,222148472,221956644
Eagerly-OnDemand-10MB,580249,29148576,66935960,268435776,168449,4967840,0.0818179,12.8148%,39.0078%,106976,100076,168089740,159994016
Eagerly-OnDemand-100MB,674478,30402688,417260480,268435776,55103,1612672,0.0424226,36.5154%,5.4349%,17034,0,52194324,0
Eagerly-Reactive-1,515084,27658016,4732,268435776,364746,11111352,0.0620108,0.00118907%,95.7653%,237429,237429,427218064,427218064
OnDemandFIFO-OnDemand-10K,533602,28113792,77168,268435776,327328,9918220,0.0596339,0.0266738%,83.0815%,212320,212321,374442068,374432240
OnDemandFIFO-OnDemand-100K,563841,28750784,796796,268435776,263984,7856724,0.0533781,0.365981%,63.3896%,169946,169930,277152512,277053140
OnDemandFIFO-OnDemand-1MB,578805,29056224,7998172,268435776,230483,6813424,0.0512707,3.3549%,54.0081%,147637,147673,232473332,231473424
OnDemandFIFO-OnDemand-10MB,615546,29664032,79998100,268435776,148799,4384092,0.0473618,17.1423%,33.1324%,95801,95812,147784000,137784192
OnDemandFIFO-OnDemand-100MB,677575,30461472,418161016,268435776,54430,1593188,0.0422886,36.4661%,5.50363%,17192,0,52191776,0
