Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,631140.0,560552.0,434680.0,433698.0,594098.0,456195.0,455127.0
10,456563.0,366814.0,243022.0,188217.0,291973.0,246271.0,174761.0
20,440877.0,290517.0,118199.0,120214.0,279834.0,183072.0,75013.6
30,434607.0,234234.0,135234.0,89052.0,227852.0,117884.0,93722.4
40,425619.0,186147.0,112967.0,78419.2,211614.0,97205.2,75741.4
50,417759.0,166311.0,106775.0,65605.2,173386.0,95927.8,61026.6
60,406860.0,163068.0,92993.2,44386.8,121706.0,71123.2,55183.0
70,403403.0,88250.8,77606.0,43182.2,157774.0,77291.0,37445.8
80,395342.0,129067.0,74045.6,43074.6,141399.0,77855.6,41009.2
90,393018.0,136370.0,71708.8,40784.0,109914.0,53866.2,38443.4
100,377418.0,110714.0,51727.4,29534.4,104273.0,57989.6,33236.6
