Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,392730.0,351070.0,329986.0,336288.0,370977.0,348875.0,350116.0
10,270399.0,171480.0,31350.2,119176.0,174593.0,110371.0,122324.0
20,248350.0,122468.0,58259.0,27658.6,124525.0,60512.6,78498.4
30,232438.0,98357.2,31518.2,58525.6,99096.2,72688.0,nan
40,218738.0,82670.6,36083.2,9156.8,82960.0,52179.4,34020.2
50,207388.0,72355.6,34131.6,37930.4,72742.4,44194.2,37494.0
60,196410.0,64945.4,11483.0,31783.4,65137.0,22328.8,32069.4
70,188855.0,57984.6,32497.8,27786.8,51195.2,13188.6,27820.6
80,181358.0,43490.6,12268.4,13711.8,47607.6,35674.0,8260.4
90,175744.0,40511.4,31591.0,21455.6,48444.4,21411.0,19261.6
100,170697.0,36967.0,28913.0,19047.8,32814.2,27030.4,18698.6
