Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,4901770.0,5291390.0,3664570.0,3664590.0,4947140.0,3367700.0,3332190.0
10,2339270.0,3142810.0,1401830.0,984335.0,3120390.0,1305660.0,806447.0
20,2315660.0,2497480.0,1317430.0,590167.0,2289740.0,838912.0,454331.0
30,2244450.0,2299580.0,849976.0,421613.0,1773660.0,864500.0,325470.0
40,2215090.0,1906540.0,436693.0,336323.0,1465100.0,515912.0,239638.0
50,2200050.0,1436250.0,499176.0,263515.0,1109830.0,476162.0,228971.0
60,2163680.0,1288290.0,454647.0,207206.0,1055580.0,486669.0,177920.0
70,2153270.0,1143970.0,499686.0,192118.0,954986.0,425250.0,168920.0
80,2116650.0,1126410.0,442169.0,197885.0,842101.0,301177.0,125193.0
90,2078320.0,1096080.0,398636.0,150948.0,787263.0,258849.0,121013.0
100,2093820.0,1021230.0,359659.0,135268.0,734952.0,249109.0,104303.0
