Remote_Ratio,SundialPasha-CXL,TwoPLPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1949350.0,1422150.0,1950120.0,1416270.0,1941280.0,1412220.0
10,1125000.0,785740.0,901822.0,719829.0,476774.0,487744.0
20,812319.0,570940.0,625307.0,511238.0,286308.0,301425.0
30,636632.0,453655.0,485886.0,407974.0,203644.0,218951.0
40,524368.0,377866.0,399642.0,343012.0,157608.0,175253.0
50,447235.0,325229.0,341549.0,296854.0,130211.0,142143.0
60,392084.0,286330.0,298665.0,264954.0,107797.0,123972.0
70,346066.0,256241.0,264677.0,239737.0,96074.4,107325.0
80,311255.0,232558.0,238802.0,219156.0,82297.9,95277.8
90,283438.0,213093.0,218120.0,202438.0,76309.2,85984.8
100,260182.0,196422.0,200428.0,189098.0,68542.5,78855.1
