Remote_Ratio,SundialPasha-CXL-FIFO,TwoPLPasha-CXL-FIFO,SundialPasha-CXL-NoMoveOut,TwoPLPasha-CXL-NoMoveOut
0,1949350.0,1422150.0,1945250.0,1424860.0
10,1125000.0,785740.0,1491540.0,1072840.0
20,812319.0,570940.0,1430100.0,1005880.0
30,636632.0,453655.0,1374360.0,957328.0
40,524368.0,377866.0,1335410.0,913094.0
50,447235.0,325229.0,1300340.0,880887.0
60,392084.0,286330.0,1277410.0,852874.0
70,346066.0,256241.0,1245790.0,829159.0
80,311255.0,232558.0,1223390.0,808435.0
90,283438.0,213093.0,1201700.0,792160.0
100,260182.0,196422.0,1183640.0,778550.0
