Remote_Ratio,SundialPasha-CXL-FIFO,TwoPLPasha-CXL-FIFO,SundialPasha-CXL-NoMoveOut,TwoPLPasha-CXL-NoMoveOut
0,1915680.0,1627900.0,1925870.0,1624620.0
10,1130660.0,1004760.0,1252110.0,1072060.0
20,806615.0,730560.0,1211950.0,1034390.0
30,626781.0,573565.0,1177600.0,1003830.0
40,512772.0,472321.0,1149140.0,983705.0
50,431808.0,401857.0,1129340.0,963069.0
60,374588.0,350755.0,1110680.0,948355.0
70,330030.0,310474.0,1093990.0,935850.0
80,294961.0,279567.0,1084180.0,930440.0
90,266256.0,253581.0,1074900.0,920669.0
100,242783.0,231641.0,1065050.0,917533.0
