Remote_Ratio,SundialPasha-CXL-WT,TwoPLPasha-CXL-WT,SundialPasha-CXL-HCC,TwoPLPasha-CXL-HCC,SundialPasha-CXL-NT,TwoPLPasha-CXL-NT
0,875679.0,1051580.0,872057.0,1051180.0,874245.0,1052380.0
10,647693.0,738686.0,723952.0,829930.0,609304.0,596382.0
20,628978.0,713107.0,712283.0,819430.0,602149.0,590862.0
30,614021.0,692363.0,699690.0,814627.0,595378.0,586977.0
40,603594.0,673463.0,691242.0,810608.0,588317.0,582051.0
50,596126.0,657106.0,686169.0,806864.0,583292.0,579538.0
60,587877.0,642948.0,679812.0,803375.0,580679.0,575431.0
70,579019.0,630738.0,674703.0,803008.0,576556.0,574332.0
80,570666.0,620404.0,667122.0,802811.0,574794.0,571836.0
90,564541.0,611562.0,665107.0,803331.0,571011.0,570914.0
100,561771.0,604917.0,662079.0,804587.0,568829.0,572823.0
