Remote_Ratio,SundialPasha-CXL-WT,TwoPLPasha-CXL-WT,SundialPasha-CXL-HCC,TwoPLPasha-CXL-HCC,SundialPasha-CXL-NT,TwoPLPasha-CXL-NT
0,729481.0,775904.0,731643.0,775802.0,731641.0,773944.0
10,568990.0,555158.0,634115.0,642990.0,523612.0,433902.0
20,535235.0,508459.0,599043.0,602244.0,499669.0,412366.0
30,509142.0,473319.0,570280.0,570537.0,479630.0,394316.0
40,486216.0,446075.0,548987.0,545576.0,461323.0,378460.0
50,466124.0,422353.0,528069.0,524120.0,448090.0,366652.0
60,450029.0,405760.0,510790.0,506580.0,435174.0,355204.0
70,435831.0,388495.0,495505.0,490413.0,422428.0,345241.0
80,422166.0,373270.0,483148.0,477807.0,413308.0,337239.0
90,411706.0,362626.0,470252.0,466219.0,403020.0,329706.0
100,401942.0,352099.0,460042.0,456051.0,395393.0,323104.0
