Remote_Ratio,SundialPasha-CXL,TwoPLPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,1915680.0,1627900.0,1944120.0,1629950.0,1935600.0,1624280.0
10,1130660.0,1004760.0,1066310.0,1084530.0,558010.0,653822.0
20,806615.0,730560.0,749681.0,832244.0,316517.0,388484.0
30,626781.0,573565.0,581366.0,679242.0,223941.0,288714.0
40,512772.0,472321.0,474867.0,575316.0,172420.0,227718.0
50,431808.0,401857.0,402275.0,501347.0,140516.0,184636.0
60,374588.0,350755.0,349259.0,444734.0,119456.0,155976.0
70,330030.0,310474.0,309427.0,398993.0,104814.0,134305.0
80,294961.0,279567.0,277509.0,362298.0,91730.9,118409.0
90,266256.0,253581.0,252098.0,332543.0,82032.7,107703.0
100,242783.0,231641.0,231440.0,306849.0,73714.2,100327.0
