Remote_Ratio,Tigon-200MB,Tigon-150MB,Tigon-100MB,Tigon-50MB,Tigon-10MB
0,491148.0,493175.0,492458.0,491235.0,492433.0
10,377105.0,361554.0,362787.0,347773.0,346552.0
20,352476.0,338757.0,337303.0,299295.0,282007.0
30,332124.0,320145.0,320028.0,264276.0,238127.0
40,315343.0,304901.0,305560.0,238033.0,204947.0
50,299479.0,291505.0,291896.0,215864.0,180920.0
60,286752.0,278994.0,279071.0,197850.0,162422.0
70,274988.0,267814.0,268140.0,183579.0,145615.0
80,265809.0,258868.0,259308.0,170343.0,133044.0
90,256372.0,251633.0,251072.0,159959.0,121011.0
100,249708.0,244854.0,243719.0,150015.0,112297.0
