Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,680443,30505920,418884648,16777664,54435,1593452,0.0422603,36.5155%,5.41174%,17055,0,52233636,0
Eagerly-OnDemand-10K,529599,27969152,56784,16777664,338466,10277368,0.0601968,0.0133695%,86.6301%,219907,219907,392065856,392056028
Eagerly-OnDemand-100K,534835,28439744,480116,16777664,263042,7841044,0.061438,0.18742%,64.5133%,165702,165675,276726632,276657472
Eagerly-OnDemand-1MB,511590,28178720,4845204,16777664,220355,6515008,0.0708311,1.95005%,55.4056%,137020,136343,223532764,222954368
Eagerly-OnDemand-10MB,582763,29166976,71127420,16777664,168821,4977432,0.0522012,13.0121%,38.8423%,106862,100110,168714728,159995472
Eagerly-OnDemand-100MB,680741,30523008,419016416,16777664,54462,1594060,0.0420569,36.5138%,5.37074%,16887,0,52331188,0
Eagerly-Reactive-1,518580,27695168,3276,16777664,366322,11160036,0.0619093,0.00115032%,95.7865%,239057,239057,430442740,430442740
OnDemandFIFO-OnDemand-10K,536256,28134016,77532,16777664,328866,9960296,0.0587436,0.0262286%,83.1245%,213150,213150,375067056,375057228
OnDemandFIFO-OnDemand-100K,566368,28802272,797160,16777664,265172,7892612,0.0533057,0.369343%,63.5576%,170224,170225,277496128,277396392
OnDemandFIFO-OnDemand-1MB,584023,29127584,7998536,16777664,232065,6862676,0.0506407,3.36782%,54.1974%,149249,149254,235346020,234346112
OnDemandFIFO-OnDemand-10MB,619891,29770880,79998464,16777664,148633,4377780,0.0470781,17.1653%,33.0586%,96112,96065,148688176,138688368
OnDemandFIFO-OnDemand-100MB,681295,30506208,418741232,16777664,54383,1591684,0.0420986,36.5166%,5.37534%,17155,0,52280228,0
