killing previous experiments...
initializing cxl memory...
I0912 20:35:54.580006 70553 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0912 20:35:54.580050 70553 Database.h:166] creating hash tables for database...
I0912 20:35:54.584878 70553 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0912 20:35:54.585122 70553 Database.h:146] district initialization finished in 0 milliseconds.
I0912 20:35:54.716847 70553 Database.h:146] customer initialization finished in 131 milliseconds.
I0912 20:35:54.734334 70553 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0912 20:35:54.803673 70553 Database.h:146] item initialization finished in 69 milliseconds.
I0912 20:35:55.086335 70553 Database.h:146] stock initialization finished in 282 milliseconds.
I0912 20:35:55.134061 70553 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0912 20:35:55.134078 70553 Coordinator.h:42] Coordinator initializes 2 workers.
I0912 20:35:55.135337 70553 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0912 20:35:55.135584 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.136269 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.136972 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.137678 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.138437 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.139132 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.139829 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.140518 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.141202 70553 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0912 20:35:55.141471 70567 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0912 20:35:55.141963 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.141978 70553 Coordinator.h:423] Coordinator 0 connected to 1
I0912 20:35:55.142176 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142181 70553 Coordinator.h:423] Coordinator 0 connected to 2
I0912 20:35:55.142335 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142340 70553 Coordinator.h:423] Coordinator 0 connected to 3
I0912 20:35:55.142488 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142499 70553 Coordinator.h:423] Coordinator 0 connected to 4
I0912 20:35:55.142608 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142613 70553 Coordinator.h:423] Coordinator 0 connected to 5
I0912 20:35:55.142748 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142755 70553 Coordinator.h:423] Coordinator 0 connected to 6
I0912 20:35:55.142884 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142889 70553 Coordinator.h:423] Coordinator 0 connected to 7
I0912 20:36:00.141705 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141719 70567 Coordinator.h:383] Listener accepted connection from coordinator 2
I0912 20:36:00.141728 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141731 70567 Coordinator.h:383] Listener accepted connection from coordinator 7
I0912 20:36:00.141737 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141739 70567 Coordinator.h:383] Listener accepted connection from coordinator 6
I0912 20:36:00.141744 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141746 70567 Coordinator.h:383] Listener accepted connection from coordinator 3
I0912 20:36:00.141752 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141754 70567 Coordinator.h:383] Listener accepted connection from coordinator 5
I0912 20:36:00.141935 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141939 70567 Coordinator.h:383] Listener accepted connection from coordinator 1
I0912 20:36:00.142058 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.142066 70567 Coordinator.h:383] Listener accepted connection from coordinator 4
I0912 20:36:00.142067 70567 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0912 20:36:00.142146 70553 Coordinator.h:435] Coordinator 0 connected to all peers.
I0912 20:36:00.142174 70553 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0912 20:36:00.142187 70553 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0912 20:36:00.142235 70568 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0912 20:36:00.142267 70553 Coordinator.h:146] Coordinator starts to run 3 workers.
I0912 20:36:00.142302 70569 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0912 20:36:00.142410 70570 Executor.h:74] Executor 0 starts.
I0912 20:36:00.142436 70572 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0912 20:36:00.142565 70570 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0912 20:36:00.142445 70571 Executor.h:74] Executor 1 starts.
I0912 20:36:00.142637 70571 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0912 20:36:01.142496 70553 Coordinator.h:237] commit: 80115 abort: 5165 (386/4357/422), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 170900, avg network size: 2.13318, si_in_serializable: 0 0 %, local: 12.7167 %, local_access: 1157562, local_cxl_access: 22299 (1.92638%), remote_access: 10192, remote_access_with_req: 5778 (56.6915%), data_move_in: 5695, n_data_move_out: 3965
I0912 20:36:02.142884 70553 Coordinator.h:237] commit: 80305 abort: 5045 (391/4260/394), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 170088, avg network size: 2.11803, si_in_serializable: 0 0 %, local: 12.6655 %, local_access: 1162693, local_cxl_access: 22591 (1.94299%), remote_access: 10205, remote_access_with_req: 5744 (56.2861%), data_move_in: 5681, n_data_move_out: 5863
I0912 20:36:03.143232 70553 Coordinator.h:237] commit: 79215 abort: 5208 (418/4386/404), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 165480, avg network size: 2.089, si_in_serializable: 0 0 %, local: 12.4812 %, local_access: 1151900, local_cxl_access: 21321 (1.85094%), remote_access: 9923, remote_access_with_req: 5599 (56.4245%), data_move_in: 5616, n_data_move_out: 5916
I0912 20:36:04.143590 70553 Coordinator.h:237] commit: 79186 abort: 5083 (424/4191/468), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 167620, avg network size: 2.11679, si_in_serializable: 0 0 %, local: 12.5224 %, local_access: 1148961, local_cxl_access: 22445 (1.9535%), remote_access: 9927, remote_access_with_req: 5666 (57.0767%), data_move_in: 5635, n_data_move_out: 5906
I0912 20:36:05.143952 70553 Coordinator.h:237] commit: 78111 abort: 5260 (389/4415/456), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 162460, avg network size: 2.07986, si_in_serializable: 0 0 %, local: 12.3977 %, local_access: 1137135, local_cxl_access: 22156 (1.94841%), remote_access: 9797, remote_access_with_req: 5487 (56.0069%), data_move_in: 5475, n_data_move_out: 5953
I0912 20:36:06.144263 70553 Coordinator.h:237] commit: 78514 abort: 5079 (405/4269/405), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 162496, avg network size: 2.06964, si_in_serializable: 0 0 %, local: 12.5302 %, local_access: 1141487, local_cxl_access: 24203 (2.1203%), remote_access: 9800, remote_access_with_req: 5508 (56.2041%), data_move_in: 5553, n_data_move_out: 5891
I0912 20:36:07.144623 70553 Coordinator.h:237] commit: 78509 abort: 5073 (398/4250/425), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 164540, avg network size: 2.09581, si_in_serializable: 0 0 %, local: 12.5718 %, local_access: 1136707, local_cxl_access: 22143 (1.948%), remote_access: 9924, remote_access_with_req: 5556 (55.9855%), data_move_in: 5544, n_data_move_out: 3951
I0912 20:36:08.144970 70553 Coordinator.h:237] commit: 76621 abort: 5107 (373/4316/418), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 164876, avg network size: 2.15184, si_in_serializable: 0 0 %, local: 12.6062 %, local_access: 1116695, local_cxl_access: 20810 (1.86353%), remote_access: 9727, remote_access_with_req: 5575 (57.3147%), data_move_in: 5425, n_data_move_out: 5886
I0912 20:36:09.145300 70553 Coordinator.h:237] commit: 75518 abort: 5276 (403/4484/389), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 161992, avg network size: 2.14508, si_in_serializable: 0 0 %, local: 12.6712 %, local_access: 1102281, local_cxl_access: 20812 (1.88808%), remote_access: 9689, remote_access_with_req: 5475 (56.5074%), data_move_in: 5446, n_data_move_out: 5921
I0912 20:36:10.145658 70553 Coordinator.h:237] commit: 76622 abort: 5013 (358/4249/406), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 161816, avg network size: 2.11187, si_in_serializable: 0 0 %, local: 12.6843 %, local_access: 1113625, local_cxl_access: 23620 (2.121%), remote_access: 9807, remote_access_with_req: 5475 (55.8275%), data_move_in: 5226, n_data_move_out: 5901
I0912 20:36:11.145977 70553 Coordinator.h:237] commit: 76731 abort: 5776 (343/4985/448), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 163532, avg network size: 2.13124, si_in_serializable: 0 0 %, local: 12.8266 %, local_access: 1128732, local_cxl_access: 21326 (1.88938%), remote_access: 9897, remote_access_with_req: 5537 (55.9462%), data_move_in: 5507, n_data_move_out: 3941
I0912 20:36:12.146337 70553 Coordinator.h:237] commit: 76081 abort: 5169 (384/4399/386), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 158940, avg network size: 2.08909, si_in_serializable: 0 0 %, local: 12.3697 %, local_access: 1105477, local_cxl_access: 20325 (1.83857%), remote_access: 9542, remote_access_with_req: 5376 (56.3404%), data_move_in: 5270, n_data_move_out: 5927
