Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size
NoMoveOut-OnDemand-0,774024,21227776,103546880,16777664,41507,996168,0.00331559,100%,0%,0,0,12943360,0
Eagerly-OnDemand-10K,564866,21227776,45820,16777664,1003878,24093072,0.00421915,0.0430717%,99.3838%,989420,989425,318331606,318330816
Eagerly-OnDemand-100K,383145,21227776,379358,16777664,702095,16850280,0.0153108,0.412585%,97.5246%,666561,666625,222530676,222503974
Eagerly-OnDemand-1MB,325910,21227744,4210384,16777664,585880,14061120,0.0421896,3.97795%,91.1325%,549248,550086,184621262,183821150
Eagerly-OnDemand-10MB,476209,21227776,17405280,16777664,450422,10810128,0.0283191,47.5025%,51.0173%,429931,442751,142432260,139916110
Eagerly-OnDemand-100MB,780307,21227776,103546880,16777664,40804,979296,0.0032205,100%,0%,0,0,12943360,0
Eagerly-Reactive-1,605513,21227776,3950,16777664,1082333,25975992,0.00382306,0.0052599%,99.7744%,1060923,1060928,340205758,340205758
OnDemandFIFO-OnDemand-10K,564545,21227776,79632,16777664,1005833,24139992,0.00402316,0.0773798%,99.3236%,988198,988198,317724570,317714616
OnDemandFIFO-OnDemand-100K,507401,21227776,798848,16777664,903301,21679224,0.00428761,0.775135%,98.5857%,878992,878993,285685014,285585158
OnDemandFIFO-OnDemand-1MB,510343,21227776,7999856,16777664,849000,20376000,0.00420365,7.72598%,91.6901%,827026,827025,267325098,266325116
OnDemandFIFO-OnDemand-10MB,636011,21227776,79999824,16777664,274226,6581424,0.0036615,77.5421%,22.6301%,251992,251992,86284274,76284296
OnDemandFIFO-OnDemand-100MB,782803,21227776,103546880,16777664,40528,972672,0.00334177,100%,0%,0,0,12943360,0
