Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,228463.0,230661.0,154921.0,156781.0,152132.0,153591.0
10,180878.0,182168.0,118224.0,118558.0,97569.7,97646.4
20,156132.0,155867.0,100031.0,99663.3,74457.7,74947.3
30,138701.0,138070.0,87774.0,87439.9,61142.6,60858.4
40,125597.0,125255.0,70318.3,78503.7,51182.0,50512.1
50,115629.0,114740.0,61975.9,71337.1,44366.1,43826.5
60,107125.0,106419.0,55825.6,65551.5,39536.9,39127.4
70,100464.0,99593.6,51070.4,60944.8,35554.6,35577.3
80,94540.0,93633.3,46857.8,56930.4,32526.5,32375.5
90,89773.0,88668.1,43515.1,53573.6,29717.7,29524.6
100,83549.6,82851.7,40485.7,50627.5,26988.3,27028.7
