Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,2823360.0,2553930.0,1888250.0,1740340.0,1903240.0,1747630.0
10,1703180.0,1607800.0,859597.0,801460.0,672016.0,443919.0
20,1085940.0,1175000.0,644883.0,445478.0,411333.0,375627.0
30,939321.0,926482.0,495086.0,454857.0,340963.0,233155.0
40,870802.0,767792.0,324596.0,386803.0,302618.0,199476.0
50,744885.0,656682.0,351087.0,385700.0,239369.0,197223.0
60,569167.0,566169.0,289930.0,254328.0,182730.0,162323.0
70,564660.0,484358.0,254491.0,294065.0,169287.0,121698.0
80,472976.0,389521.0,231217.0,200056.0,122003.0,112793.0
90,462747.0,368957.0,265714.0,137301.0,116325.0,102399.0
100,430239.0,335572.0,154262.0,123743.0,128586.0,85134.2
