Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,274407.0,280221.0,188712.0,193125.0,188387.0,192888.0
10,202496.0,204960.0,133919.0,138157.0,124161.0,123414.0
20,169511.0,171359.0,109961.0,110286.0,95450.0,94619.0
30,147617.0,148680.0,93893.4,94523.3,78817.6,77134.5
40,131562.0,132426.0,84504.6,82946.4,65188.0,65354.6
50,119167.0,119433.0,75440.1,75094.2,55432.7,55444.4
60,109675.0,109428.0,68612.1,67524.8,49094.5,48718.2
70,101398.0,101086.0,62139.3,62275.2,45218.5,43459.9
80,94556.6,93791.6,57301.2,57269.3,41576.7,39092.5
90,88515.3,87934.3,53510.4,52614.0,36612.0,35611.6
100,83409.6,82689.7,50686.2,49676.0,34659.8,33532.3
