Remote_Ratio,Tigon-200MB,Tigon-150MB,Tigon-100MB,Tigon-50MB,Tigon-10MB
0,410771.0,409582.0,409755.0,409875.0,410271.0
10,344865.0,328368.0,328864.0,323614.0,316604.0
20,325929.0,302881.0,302780.0,287581.0,275160.0
30,308765.0,286345.0,285840.0,262168.0,246636.0
40,295969.0,273120.0,273725.0,241867.0,226034.0
50,283934.0,263840.0,263232.0,226463.0,208662.0
60,273372.0,255153.0,253050.0,215057.0,194459.0
70,265087.0,248158.0,245720.0,203975.0,182692.0
80,257492.0,241771.0,238466.0,194945.0,172943.0
90,250597.0,236819.0,232319.0,186403.0,163980.0
100,245312.0,232263.0,228055.0,179911.0,156586.0
