Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,430399.0,388570.0,377948.0,376638.0,407481.0,396514.0,393495.0
10,316261.0,196094.0,165577.0,138959.0,199520.0,167188.0,139958.0
20,293195.0,141956.0,114767.0,89740.4,143209.0,115327.0,88065.2
30,274770.0,114532.0,89611.2,66237.2,115099.0,89526.6,66425.2
40,259639.0,97486.4,74717.0,52910.8,98283.6,73911.6,51523.4
50,246413.0,86111.0,62524.2,41883.6,86169.8,63090.8,41516.6
60,235847.0,76837.0,55376.2,35860.8,77487.6,54876.8,35889.6
70,226524.0,70096.6,49678.0,30621.2,70001.2,48953.8,30996.8
80,219043.0,64456.2,44039.8,27001.8,64555.2,43903.8,26942.8
90,212197.0,59963.8,40559.2,24407.2,59711.6,39795.0,22945.2
100,206484.0,55935.8,36460.2,21390.4,55196.8,36429.0,21144.8
