Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET
0,4657650.0,5434630.0,3551600.0,3576950.0,4722620.0,3333090.0,3214090.0
10,3040130.0,3021720.0,733127.0,528616.0,2465240.0,1534860.0,557754.0
20,3008510.0,2034830.0,609294.0,454067.0,2254710.0,1274790.0,413182.0
30,3005630.0,2033480.0,507455.0,336737.0,1757790.0,975867.0,246715.0
40,2885280.0,1578180.0,388017.0,283734.0,1517620.0,554334.0,172443.0
50,2876150.0,1476700.0,332237.0,202269.0,1533900.0,483375.0,210541.0
60,2793510.0,1314630.0,646902.0,167003.0,1339470.0,312548.0,166934.0
70,2761440.0,1442450.0,569555.0,181552.0,1220320.0,277259.0,164124.0
80,2778340.0,1454880.0,508644.0,162790.0,1096290.0,261372.0,108658.0
90,2772250.0,1346720.0,332904.0,142839.0,1004010.0,242519.0,96099.2
100,2778910.0,1241260.0,270848.0,114543.0,917683.0,273960.0,76887.8
